HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	RefSeq IDs	RefSeq(supplied by NCBI)
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved			NM_130786	NM_130786
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	NR_015380	NR_015380
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	NM_014576	NM_001198818
HGNC:6	A1S9T~withdrawn	symbol withdrawn, see UBA1	Symbol Withdrawn				
HGNC:7	A2M	alpha-2-macroglobulin	Approved		FWP007, S863-7, CPAMD5	NM_000014	NM_000014
HGNC:27057	A2M-AS1	A2M antisense RNA 1	Approved			NR_026971	NR_026971
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	CPAMD9	FLJ25179, p170	NM_144670	NM_001282424
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved				
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved				
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	Approved	A2MP		NG_001067	NR_040112
HGNC:9	A2MR~withdrawn	symbol withdrawn, see LRP1	Symbol Withdrawn				
HGNC:10	A2MRAP~withdrawn	symbol withdrawn, see LRPAP1	Symbol Withdrawn				
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	A3GALT2P	IGBS3S, IGB3S	NM_001080438	NM_001080438
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	Approved	P1	A14GALT, Gb3S, P(k)	NM_017436	NM_001318038
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved		alpha4GnT	NM_016161	NM_016161
HGNC:1	A12M1~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:2	A12M2~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:3	A12M3~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:4	A12M4~withdrawn	entry withdrawn	Entry Withdrawn				
